Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P00760	P00766	P00760	P00766					PDB_3RU4:0114:LC
P00760	P00974	P00760	P00974					PDB_3TPI:0114:LC|21245536:0114:LC|24034223:1311:LC|24034223:0071:LC|PDB_2TGP:0114:LC|24034223:0807:LC|PDB_1TPA:0114:LC|PDB_2TPI:0114:LC|PDB_2PTC:0114:LC|10222201:0114:LC|6207021:0114:LC|18692070:0114:LC|17157870:0114:LC|24034223:0808:LC|29449928:0114:LC|14568540:0114:LC
P00766	P00766	P00766	P00766					24903745:0114:LC|11495915:0114:LC|6914398:0114:LC|2036388:0114:LC|4057257:0114:LC|18155725:0114:LC|2261462:0114:LC|PDB_3RU4:0114:LC|PDB_1GHA:0114:LC|PDB_1N8O:0114:LC|2819046:0114:LC|11327865:0114:LC|1942036:0114:LC|PDB_1HJA:0114:LC|3980476:0114:LC|15654893:0114:LC|3477645:0114:LC|2364065:0114:LC|17469803:0114:LC|9425066:0114:LC|2271520:0114:LC|7947790:0114:LC|9692896:0114:LC|1888717:0114:LC|8003497:0114:LC|10713514:0114:LC|PDB_1GHB:0114:LC
P00766	P00767	P00766	P00767					18155725:0114:LC
P00766	P00974	P00766	P00974					15544809:0114:LC|6049071:0114:LC|14568540:0114:LC
P00829	P01096	ATP5F1B	ATP5IF1					17895376:0114:LC|11742976:0114:LC
P00829	P05632	ATP5F1B	ATP5F1E					16728506:0114:LC|22733764:0114:LC|19995987:0071:LC|22733764:0071:LC
P00829	P19483	ATP5F1B	ATP5F1A					8491170:0114:LC|8065448:0114:LC|8692918:0114:LC|11742976:0114:LC|6114957:0114:LC|8433373:0114:LC|17698806:0114:LC
P00921	P00921	CA2	CA2					23551356:0067:LC|26687908:0114:LC
P00974	P00974	P00974	P00974					12021452:0114:LC|PDB_5XX5:0114:LC|6049071:0114:LC|20529698:0114:LC|18829434:0114:LC|15544809:0114:LC|1384034:0114:LC|19830687:0114:LC|29910933:0114:LC|10089443:0114:LC|28870811:0114:LC|PDB_5XX4:0114:LC|PDB_5XX2:0114:LC|10731422:0114:LC|PDB_5XX3:0114:LC|28266637:0114:LC|14568540:0114:LC|19549826:0114:LC
P01096	P01096	ATP5IF1	ATP5IF1					10918052:0114:LC|11742976:0114:LC
P01096	P19483	ATP5IF1	ATP5F1A					17895376:0114:LC|11742976:0114:LC
P01175	P01175	OXT	OXT					PDB_2LBH:0114:LC|3008332:0114:LC|17192588:0114:LC
P01180	P01180	AVP	AVP					430567:0114:LC|11514677:0114:LC|8564543:0114:LC|2034668:0114:LC
P01317	P01317	INS	INS					PDB_2ZP6:0114:LC|16131756:0114:LC|16239724:0114:LC|PDB_4BS3:0114:LC|22001209:0051:LC|PDB_6QQG:0114:LC|24419384:0114:LC|23695242:0114:LC|PDB_6QRK:0114:LC|22001209:0040:LC|9141131:0114:LC|25403962:0114:LC|23416304:0872:LC|23416304:0964:LC|1477273:0114:LC|23416304:0016:LC|28394477:0114:LC|22001209:0071:LC|PDB_6QQ7:0114:LC|PDB_2INS:0114:LC|PDB_5MIZ:0114:LC|PDB_6QRH:0114:LC|22993080:0114:LC
P01888	Q30291	B2M	HD6					20976198:0114:LC
P01966	P01966	HBA	HBA					PDB_3PIA:0114:LC|PDB_3PI8:0114:LC|PDB_3CIU:0114:LC|30444368:0114:LC|18831041:0114:LC|8411160:0114:LC|11112521:0114:LC|PDB_3PI9:0114:LC|11369847:0114:LC
P01966	P02070	HBA	HBB					PDB_3PIA:0114:LC|PDB_3PI8:0114:LC|PDB_3CIU:0114:LC|30444368:0114:LC|18831041:0114:LC|8411160:0114:LC|11112521:0114:LC|PDB_3PI9:0114:LC|11369847:0114:LC
P02070	P02070	HBB	HBB					PDB_3PIA:0114:LC|PDB_3PI8:0114:LC|PDB_3CIU:0114:LC|30444368:0114:LC|18831041:0114:LC|11112521:0114:LC|PDB_3PI9:0114:LC|11369847:0114:LC
P02522	P02522	CRYBB2	CRYBB2					7108959:0114:LC|8120900:0114:LC
P02526	P02526	CRYGB	CRYGB					8605629:0114:LC
P02584	P60712	PFN1	ACTB					8413665:0114:LC|8918942:0114:LC|22366544:0114:LC
P02633	P02633	S100G	S100G					11316872:0114:LC|15137763:0114:LC
P02638	P02638	S100B	S100B					14661952:0114:LC|21132089:0114:LC|8805590:0114:LC|PDB_3RLZ:0114:LC|26727270:0114:LC|25268459:0114:LC
P02638	Q5E997	S100B	CAPZA2					PDB_3RM1:0114:LC
P02639	P02639	S100A1	S100A1					18088104:0114:LC
P02690	P02690	PMP2	PMP2					7683727:0114:LC
P02698	P19632	GNGT1	PDC					9739091:0114:LC
P02698	P62871	GNGT1	GNB1					16892066:0028:LC|29777099:0114:LC|16892066:0415:LC|9739091:0114:LC|27462082:0114:LC|8552184:0114:LC|8521505:0114:LC|10360181:0114:LC|8898209:0114:LC|7929057:0091:LC|8259210:0114:LC
P02699	P02699	RHO	RHO					17449675:0114:LC|16492774:0030:LC|16492772:0012:LC|15491621:0114:LC|16492772:0055:LC|17060607:0114:LC|11425302:0114:LC|16586416:0114:LC|15327956:0114:LC|10926528:0114:LC|11972040:0114:LC|16908857:0114:LC|16492774:0055:LC|17825322:0114:LC|18563085:0114:LC|20923672:0114:LC
P02699	P04695	RHO	GNAT1					16892066:0028:LC|16892066:0042:LC|21389988:0114:LC|24038729:0114:LC|18818650:0114:LC|23579341:0114:LC|21389983:0114:LC
P02699	P08168	RHO	SAG					23604253:0017:LC|23604253:0028:LC|16547131:0042:LC|16547131:0028:LC|25205354:0114:LC|16547131:0071:LC|8505295:0091:LC|17360618:0028:LC
P02699	P0C7Q4	RHO	GNAT3					22198838:0114:LC|27458239:0114:LC
P02754	P02754	LGB	LGB					PDB_3PH5:0114:LC|17932936:0114:LC|25241165:0028:LC|PDB_5Y5C:0114:LC|17997967:0114:LC|PDB_3PH6:0114:LC|9115437:0114:LC
P02769	P02769	ALB	ALB					22993082:0114:LC|23769932:0114:LC|22677715:0114:LC|24753230:0114:LC
P02777	P02777	PF4	PF4					2914894:0114:LC
P02784	P02784	P02784	P02784					11937055:0114:LC
P02820	P02820	BGLAP	BGLAP					24138653:0114:LC
P03968	P03968	FGF1	FGF1					1702556:0114:LC
