Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q682I1	Q682I1	BOLA1	BOLA1	F14J16	F14J16	LOCUS:505006189	LOCUS:505006189	25012657:0114:LC
Q682I4	Q6NMI3	Q682I4	Q6NMI3		F5M6.21|F5M6_21	LOCUS:2101437	LOCUS:2034506	21798944:0018:HT
Q682I4	Q94AX2	Q682I4	PTST		MKM21.80	LOCUS:2101437	LOCUS:2167067	21798944:0018:HT
Q682I4	Q9LIF6	Q682I4	Q9LIF6			LOCUS:2101437	LOCUS:2089463	21798944:0018:HT
Q682S0	Q9SNY3	RPT2	GMD1	T6B20.13/T6B20.14	K1L20.6	LOCUS:2064357	LOCUS:2155036	21798944:0018:HT|21798944:0397:HT
Q683D5	Q8L732	PUB37	Q8L732	F4I18.10		LOCUS:2050659		21798944:0397:HT
Q683D5	Q93ZM2	PUB37	MWD9.9	F4I18.10		LOCUS:2050659	LOCUS:2176387	21798944:0018:HT|21798944:0397:HT
Q683D5	Q9C8P0	PUB37	EMB3003	F4I18.10	F12K21.24|F7P12.2	LOCUS:2050659	LOCUS:2009273	21798944:0018:HT|21798944:0397:HT
Q683D5	Q9C9X0	PUB37	MAP70.1	F4I18.10	T23K23.9	LOCUS:2050659	LOCUS:2200306	21798944:0018:HT|21798944:0397:HT
Q683D5	Q9M155	PUB37	Q9M155	F4I18.10	F2N1.13|F2N1_13	LOCUS:2050659	LOCUS:2125058	21798944:0018:HT|21798944:0397:HT
Q683D5	Q9SR38	PUB37	F3L24.12	F4I18.10		LOCUS:2050659		21798944:0397:HT
Q683D5	Q9ZPY4	PUB37	Q9ZPY4	F4I18.10	F13A10.8	LOCUS:2050659	LOCUS:2040003	21798944:0018:HT
Q6A332	Q6ID77	ALY3	MED11	MHC9	T13O15	LOCUS:2089438	LOCUS:1006230250	17560376:0006:LC|30793213:0018:LC
Q6A332	Q8VYB1	ALY3	MED31	MHC9	F28I16.60	LOCUS:2089438	LOCUS:2147675	17560376:0006:LC|30793213:0018:LC
Q6A332	Q9FMP0	ALY3	MED19A	MHC9	MXC9.19	LOCUS:2089438	LOCUS:2177073	24339748:0007:LC|17560376:0006:LC
Q6A332	Q9SR02	ALY3	MED14	MHC9	F7O18.23	LOCUS:2089438	LOCUS:2084948	17560376:0006:LC|30793213:0018:LC
Q6A333	Q6A333	ALY2	ALY2	F22F7.18|T12H1.35	F22F7.18|T12H1.35	LOCUS:2079747	LOCUS:2079747	19435936:0018:LC|21798944:0018:HT|21798944:0397:HT
Q6A333	Q8GWD1	ALY2	Q8GWD1	F22F7.18|T12H1.35	T14C9.30|T14C9_30	LOCUS:2079747	LOCUS:2179479	21798944:0018:HT|21798944:0397:HT
Q6A333	Q9T041	ALY2	TOR1	F22F7.18|T12H1.35	T24A18.10	LOCUS:2079747	LOCUS:2136467	21798944:0018:HT|21798944:0397:HT
Q6AWS7	Q8RXK1	Q6AWS7	DTX23		F9L11.22|T9L6.14	LOCUS:3436229	LOCUS:2037960	24833385:0090:HT|24833385:0112:HT
Q6AWS7	Q9LS42	Q6AWS7	CASP		MYF24.37	LOCUS:3436229	LOCUS:2095012	24833385:0090:HT|24833385:0112:HT
Q6AWS7	Q9SUP0	Q6AWS7	Q9SUP0		F9F13.40	LOCUS:3436229	LOCUS:2128649	24833385:0090:HT|24833385:0112:HT
Q6AWS7	Q9ZW05	Q6AWS7	Q9ZW05		F16P2.44|F16P2_44	LOCUS:3436229	LOCUS:2043192	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q84N34	Q6AWW5	HHP2	T22P11.210	F6I18.240	LOCUS:2181768	LOCUS:2126709	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8L9S0	Q6AWW5	Q8L9S0	T22P11.210	F28N24.23	LOCUS:2181768	LOCUS:2029954	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8LEC2	Q6AWW5	Q8LEC2	T22P11.210	F17I23.160|F17I23_160	LOCUS:2181768	LOCUS:2118796	24833385:0090:HT
Q6AWW5	Q8LPK5	Q6AWW5	CESA8	T22P11.210	F28A21.190	LOCUS:2181768	LOCUS:2124167	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8RY98	Q6AWW5	Q8RY98	T22P11.210	F24B9.36|F24B9_36	LOCUS:2181768	LOCUS:2026499	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8RYE2	Q6AWW5	Q8RYE2	T22P11.210		LOCUS:2181768	LOCUS:505006314	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8S8Y9	Q6AWW5	WNK2	T22P11.210	MCB17.15	LOCUS:2181768	LOCUS:2087857	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q8VYS5	Q6AWW5	TBL18	T22P11.210	T30C3.30	LOCUS:2181768	LOCUS:2138043	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q94CG2	Q6AWW5	BET12	T22P11.210	FCAALL.379	LOCUS:2181768	LOCUS:1005716319	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q94F23	Q6AWW5	Q94F23	T22P11.210	F17L21.8|F17L21_8	LOCUS:2181768	LOCUS:2015944	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q94K72	Q6AWW5	Q94K72	T22P11.210	T24D18.25|T24D18_25	LOCUS:2181768	LOCUS:2200482	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9AST5	Q6AWW5	Q9AST5	T22P11.210	K6M13.9|K6M13_9	LOCUS:2181768	LOCUS:2157849	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9C7D7	Q6AWW5	Q9C7D7	T22P11.210	F28J15.3	LOCUS:2181768	LOCUS:2082199	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9C835	Q6AWW5	CYP21-4	T22P11.210	T8E24.14	LOCUS:2181768	LOCUS:2103420	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9FNH6	Q6AWW5	NHL3	T22P11.210	MHF15.16	LOCUS:2181768	LOCUS:2164305	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9FVS6	Q6AWW5	ASK4	T22P11.210	F12K22.12|F13D13.5	LOCUS:2181768		24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9LIN9	Q6AWW5	PAGR	T22P11.210	F20C19.9	LOCUS:2181768	LOCUS:2079281	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9LMN8	Q6AWW5	WAK3	T22P11.210	F16F4.8	LOCUS:2181768	LOCUS:2014897	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9LNM6	Q6AWW5	Q9LNM6	T22P11.210	F12K21.2	LOCUS:2181768	LOCUS:2009248	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9LPN5	Q6AWW5	VPS60-1	T22P11.210	F13M14.7|F18K10.26	LOCUS:2181768	LOCUS:2075800	24833385:0112:HT
Q6AWW5	Q9LSP7	Q6AWW5	UBC32	T22P11.210	K14A17.7	LOCUS:2181768	LOCUS:2086067	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9LYI4	Q6AWW5	EMB3135	T22P11.210	F14F18.60|F14F18_60	LOCUS:2181768	LOCUS:2143064	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9M0B0	Q6AWW5	Q9M0B0	T22P11.210		LOCUS:2181768		24833385:0112:HT
Q6AWW5	Q9SHI7	Q6AWW5	UBC34	T22P11.210	F20D23.1	LOCUS:2181768	LOCUS:2020392	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9SX96	Q6AWW5	Q9SX96	T22P11.210	F16N3.6|F16N3_6	LOCUS:2181768	LOCUS:2015393	24833385:0090:HT|24833385:0112:HT
Q6AWW5	Q9SZG0	Q6AWW5	HHP4	T22P11.210	F19F18.170	LOCUS:2181768	LOCUS:2120140	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q84N34	Q6AWX0	HHP2	F2K13.160	F6I18.240	LOCUS:2148201	LOCUS:2126709	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q8L9S0	Q6AWX0	Q8L9S0	F2K13.160	F28N24.23	LOCUS:2148201	LOCUS:2029954	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q8LD98	Q6AWX0	NHL6	F2K13.160	F1E22.7	LOCUS:2148201	LOCUS:2018531	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q8VYS5	Q6AWX0	TBL18	F2K13.160	T30C3.30	LOCUS:2148201	LOCUS:2138043	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q94CG2	Q6AWX0	BET12	F2K13.160	FCAALL.379	LOCUS:2148201	LOCUS:1005716319	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q9C835	Q6AWX0	CYP21-4	F2K13.160	T8E24.14	LOCUS:2148201	LOCUS:2103420	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q9FNH6	Q6AWX0	NHL3	F2K13.160	MHF15.16	LOCUS:2148201	LOCUS:2164305	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q9LPN5	Q6AWX0	VPS60-1	F2K13.160	F13M14.7|F18K10.26	LOCUS:2148201	LOCUS:2075800	24833385:0112:HT
Q6AWX0	Q9LYI4	Q6AWX0	EMB3135	F2K13.160	F14F18.60|F14F18_60	LOCUS:2148201	LOCUS:2143064	24833385:0090:HT|24833385:0112:HT
Q6AWX0	Q9M0V8	Q6AWX0	Q9M0V8	F2K13.160		LOCUS:2148201	LOCUS:2115944	24833385:0112:HT
Q6AWX0	Q9SHI7	Q6AWX0	UBC34	F2K13.160	F20D23.1	LOCUS:2148201	LOCUS:2020392	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q8H129	Q6AWX4	PAP3	T14L22.90|T14L22_90	F10B6.10	LOCUS:2195871	LOCUS:2006742	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q8VYS5	Q6AWX4	TBL18	T14L22.90|T14L22_90	T30C3.30	LOCUS:2195871	LOCUS:2138043	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9AST5	Q6AWX4	Q9AST5	T14L22.90|T14L22_90	K6M13.9|K6M13_9	LOCUS:2195871	LOCUS:2157849	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9C7D7	Q6AWX4	Q9C7D7	T14L22.90|T14L22_90	F28J15.3	LOCUS:2195871	LOCUS:2082199	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9FNH6	Q6AWX4	NHL3	T14L22.90|T14L22_90	MHF15.16	LOCUS:2195871	LOCUS:2164305	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9LPD5	Q6AWX4	Q9LPD5	T14L22.90|T14L22_90	T12C22.23|T12C22_23	LOCUS:2195871	LOCUS:2028270	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9LPN5	Q6AWX4	VPS60-1	T14L22.90|T14L22_90	F13M14.7|F18K10.26	LOCUS:2195871	LOCUS:2075800	24833385:0112:HT
Q6AWX4	Q9LSP7	Q6AWX4	UBC32	T14L22.90|T14L22_90	K14A17.7	LOCUS:2195871	LOCUS:2086067	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9LVU1	Q6AWX4	PVA21	T14L22.90|T14L22_90	MQL5.3	LOCUS:2195871	LOCUS:2171594	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9SHI7	Q6AWX4	UBC34	T14L22.90|T14L22_90	F20D23.1	LOCUS:2195871	LOCUS:2020392	24833385:0090:HT|24833385:0112:HT
Q6AWX4	Q9SZG0	Q6AWX4	HHP4	T14L22.90|T14L22_90	F19F18.170	LOCUS:2195871	LOCUS:2120140	24833385:0090:HT|24833385:0112:HT
Q6AWX6	Q94JY4	SCAR1	BRK1	T14G11.27	T9I22.8	LOCUS:2055511	LOCUS:2066055	17267444:0018:LC|15534215:0007:LC
Q6DBF6	Q8VZW1	Q6DBF6	NIP1-1		F13C5.200	LOCUS:1006230337	LOCUS:2117119	21798944:0018:HT|21798944:0397:HT
Q6DBF6	Q94BX2	Q6DBF6	Q94BX2			LOCUS:1006230337	LOCUS:2077977	21798944:0018:HT|21798944:0397:HT
Q6DBF6	Q94F58	Q6DBF6	NAC089		MWD9.7|T6G21.9	LOCUS:1006230337	LOCUS:2176362	21798944:0018:HT|21798944:0397:HT
Q6DBF6	Q9C7D7	Q6DBF6	Q9C7D7		F28J15.3	LOCUS:1006230337	LOCUS:2082199	24833385:0090:HT|24833385:0112:HT
Q6DBF6	Q9C835	Q6DBF6	CYP21-4		T8E24.14	LOCUS:1006230337	LOCUS:2103420	24833385:0090:HT|24833385:0112:HT
Q6DBF6	Q9FZK5	Q6DBF6	Q9FZK5		F17L21.9|F17L21_9	LOCUS:1006230337	LOCUS:2015954	21798944:0018:HT|21798944:0397:HT
Q6DBF6	Q9STK6	Q6DBF6	WNK3		T29H11_220	LOCUS:1006230337	LOCUS:504955638	24833385:0090:HT|24833385:0112:HT
