Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
O14011	Q9USV3	PRP19	CWF7	SPAC29A4.08C	SPBC28F2.04C	SPAC29A4.08C	SPBC28F2.04C	21386897:0004:LC|21386897:0007:LC|21386897:0676:LC|12088152:0018:LC
O14012	P13681	RRP17	DIS2	SPAC29A4.09	SPBC776.02C	SPAC29A4.09	SPBC776.02C	26771498:0018:HT
O14014	O14248	RGA3	TEA3	SPAC29A4.11	SPAC6G10.02C	SPAC29A4.11	SPAC6G10.02C	26771498:0018:HT
O14014	O94573	RGA3	O94573	SPAC29A4.11	SPBC1773.16C	SPAC29A4.11	SPBC1773.16C	26771498:0018:HT
O14027	O14027	SNZ1	SNZ1	SPAC29B12.04	SPAC29B12.04	SPAC29B12.04	SPAC29B12.04	23695164:0018:HT|26771498:0018:HT
O14027	O42869	SNZ1	O42869	SPAC29B12.04	SPAC3G9.05	SPAC29B12.04	SPAC3G9.05	26771498:0018:HT
O14027	O94374	SNZ1	IMP1	SPAC29B12.04	SPBC1604.08C	SPAC29B12.04	SPBC1604.08C	26771498:0018:HT
O14027	P08090	SNZ1	MEI3	SPAC29B12.04	SPBC119.04	SPAC29B12.04	SPBC119.04	23695164:0018:HT|26771498:0018:HT
O14027	P49373	SNZ1	TFS1	SPAC29B12.04	SPAC20H4.03C	SPAC29B12.04	SPAC20H4.03C	26771498:0018:HT
O14027	Q9UTE4	SNZ1	Q9UTE4	SPAC29B12.04	SPAC222.08C	SPAC29B12.04	SPAC222.08C	23695164:0018:HT|26771498:0018:HT
O14030	O14102	O14030	SAP49	SPAC29B12.08	SPAC31G5.01|SPAPB1A11.05	SPAC29B12.08	SPAC31G5.01	26771498:0018:HT
O14030	O74635	O14030	RPB9	SPAC29B12.08	SPAPYUG7.04C	SPAC29B12.08	SPAPYUG7.04C	26771498:0018:HT
O14030	Q10237	O14030	Q10237	SPAC29B12.08	SPAC4G9.04C	SPAC29B12.08	SPAC4G9.04C	26771498:0018:HT
O14030	Q2L4W6	O14030	SPO5	SPAC29B12.08	SPBC29A10.02|SPBC365.18	SPAC29B12.08	SPBC29A10.02	26771498:0018:HT
O14030	Q9HFE5	O14030	APM1	SPAC29B12.08	SPBP16F5.07	SPAC29B12.08	SPBP16F5.07	26771498:0018:HT
O14030	Q9P805	O14030	DCP1	SPAC29B12.08	SPBC3B9.21	SPAC29B12.08	SPBC3B9.21	26771498:0018:HT
O14032	Q9URW7	O14032	VPS17	SPAC29B12.11C	SPAPJ696.01C	SPAC29B12.11C	SPAPJ696.01C	26771498:0018:HT
O14036	P39964	SMD2	CDC5	SPAC2C4.03C	SPAC644.12	SPAC2C4.03C	SPAC644.12	10409726:0004:LC|24014766:0401:LC|10409726:0007:LC
O14037	Q10314	O14037	Q10314	SPAC2C4.04C	SPAC17G8.02	SPAC2C4.04C	SPAC17G8.02	26771498:0018:HT
O14040	O14040	DIS32	DIS32	SPAC2C4.07C	SPAC2C4.07C	SPAC2C4.07C	SPAC2C4.07C	26057668:0114:LC
O14045	Q9Y7Q1	O14045	Q9Y7Q1	SPAC2C4.12C	SPCC191.08	SPAC2C4.12C	SPCC191.08	26771498:0018:HT
O14047	O94466	PPK11	RGA7	SPAC2C4.14C	SPBC23G7.08C	SPAC2C4.14C	SPBC23G7.08C	26771498:0018:HT
O14048	O14048	UBX2	UBX2	SPAC2C4.15C	SPAC2C4.15C	SPAC2C4.15C	SPAC2C4.15C	23695164:0018:HT|26771498:0018:HT
O14048	O60117	UBX2	O60117	SPAC2C4.15C	SPBC16G5.03	SPAC2C4.15C	SPBC16G5.03	26771498:0018:HT
O14048	Q9UT81	UBX2	UBX3	SPAC2C4.15C	SPAC343.09	SPAC2C4.15C	SPAC343.09	23695164:0018:HT|26771498:0018:HT
O14049	P78920	RPS801	P78920	SPAC2C4.16C	SPBC2D10.11C	SPAC2C4.16C	SPBC2D10.11C	26771498:0018:HT
O14053	O14130	O14053	O14130	SPCC1672.07	SPAC3C7.04	SPCC1672.07	SPAC3C7.04	26771498:0018:HT
O14053	P78920	O14053	P78920	SPCC1672.07	SPBC2D10.11C	SPCC1672.07	SPBC2D10.11C	23695164:0018:HT|26771498:0018:HT
O14063	O42658	CUT15	OMT2	SPCC962.03C	SPAC27D7.04	SPCC962.03C	SPAC27D7.04	23695164:0018:HT|26771498:0018:HT
O14063	O59825	CUT15	THP1	SPCC962.03C	SPCC965.05C	SPCC962.03C	SPCC965.05C	26771498:0018:HT
O14068	Q09791	O14068	Q09791	SPAC1687.07	SPAC13G6.15C|SPAC24B11.04C	SPAC1687.07	SPAC13G6.15C	26771498:0018:HT
O14069	P78920	RPL44	P78920	SPAC1687.06C	SPBC2D10.11C	SPAC1687.06C	SPBC2D10.11C	26771498:0018:HT
O14075	O14075	O14075	O14075	SPAC2E11.10|SPACUNK4.10	SPAC2E11.10|SPACUNK4.10	SPACUNK4.10	SPACUNK4.10	26771498:0018:HT
O14079	O14079	MDB1	MDB1	SPAC2E11.14|SPACUNK4.14	SPAC2E11.14|SPACUNK4.14	SPACUNK4.14	SPACUNK4.14	26160178:0114:LC
O14088	O59716	O14088	O59716	SPAC2F3.05C	SPBC3B8.08	SPAC2F3.05C	SPBC3B8.08	26771498:0018:HT|26771498:0090:HT
O14093	O59823	VPS54	VMA8	SPAC2F3.10	SPCC965.03	SPAC2F3.10	SPCC965.03	26771498:0018:HT
O14095	O42958	PLP1	O42958	SPAC2F3.12C	SPBC19G7.10C	SPAC2F3.12C	SPBC19G7.10C	26771498:0018:HT|26771498:0090:HT
O14095	O42978	PLP1	LSM5	SPAC2F3.12C	SPBC20F10.09	SPAC2F3.12C	SPBC20F10.09	26771498:0018:HT
O14095	O74483	PLP1	LSM8	SPAC2F3.12C	SPCC1840.10	SPAC2F3.12C	SPCC1840.10	26771498:0018:HT
O14095	O94408	PLP1	LSM2	SPAC2F3.12C	SPCC1620.01C	SPAC2F3.12C	SPCC1620.01C	26771498:0018:HT
O14095	Q9Y7M4	PLP1	LSM3	SPAC2F3.12C	SPBC9B6.05C	SPAC2F3.12C	SPBC9B6.05C	26771498:0018:HT
O14097	Q09685	O14097	DRE4	SPAC2F3.14C	SPAC13C5.02	SPAC2F3.14C	SPAC13C5.02	21386897:0004:LC|21386897:0007:LC|21386897:0676:LC|26771498:0018:HT
O14102	O60130	SAP49	O60130	SPAC31G5.01|SPAPB1A11.05	SPBC16G5.16	SPAC31G5.01	SPBC16G5.16	26771498:0018:HT
O14102	O94602	SAP49	O94602	SPAC31G5.01|SPAPB1A11.05	SPCC622.15C	SPAC31G5.01	SPCC622.15C	26771498:0018:HT
O14102	P08092	SAP49	RAN1	SPAC31G5.01|SPAPB1A11.05	SPBC19C2.05	SPAC31G5.01	SPBC19C2.05	26771498:0018:HT
O14102	P79007	SAP49	HAP5	SPAC31G5.01|SPAPB1A11.05	SPBC3B8.02	SPAC31G5.01	SPBC3B8.02	26771498:0018:HT
O14102	Q9HGP0	SAP49	PVG4	SPAC31G5.01|SPAPB1A11.05	SPBC317.01	SPAC31G5.01	SPBC317.01	26771498:0018:HT
