Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P48754	Q61545	BRCA1	EWSR1			MGI:104537	MGI:99960	20211142:0018:HT
P48754	Q8K5B8	BRCA1	HOXC12			MGI:104537	MGI:96194	20211142:0018:HT
P48754	Q9JKN5	BRCA1	OLIG1			MGI:104537	MGI:1355334	20211142:0018:HT
P48972	P81183	MYBL2	IKZF2			MGI:101785	MGI:1342541	20211142:0018:HT
P48972	Q8BKT3	MYBL2	GCFC2			MGI:101785	MGI:2141656	20211142:0018:HT
P48985	Q61909	ATOH1	RUNX1T1			MGI:104654	MGI:104793	20211142:0018:HT
P49025	Q62108	CIT	DLG4			MGI:105313	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P49070	Q9D882	CAMLG	FAM241B			MGI:104728	MGI:1917144	11591653:0397:HT
P49615	P61809	CDK5	CDK5R1			MGI:101765	MGI:101764	17295212:0019:LC|17341134:0006:LC|18325333:0007:LC|8090221:0045:LC
P49710	Q07279	HCLS1	NFE2			MGI:104568	MGI:97308	20211142:0018:HT
P49717	P49717	MCM4	MCM4			MGI:103199	MGI:103199	12614612:0018:HT
P49717	P97310	MCM4	MCM2			MGI:103199	MGI:105380	12614612:0018:HT
P49717	P97311	MCM4	MCM6			MGI:103199	MGI:1298227	12614612:0018:HT
P49717	Q60862	MCM4	ORC2			MGI:103199	MGI:1328306	12614612:0018:HT
P49717	Q62193	MCM4	RPA2			MGI:103199	MGI:1339939	12614612:0018:HT
P49717	Q8VEE4	MCM4	RPA1			MGI:103199	MGI:1915525	12614612:0018:HT
P49717	Q9CQ71	MCM4	RPA3			MGI:103199	MGI:1915490	12614612:0018:HT
P49717	Q9JK30	MCM4	ORC3			MGI:103199	MGI:1354944	12614612:0018:HT
P49717	Q9QZ41	MCM4	DBF4			MGI:103199	MGI:1351328	12614612:0018:HT
P49717	Q9WUJ8	MCM4	ORC6			MGI:103199	MGI:1929285	12614612:0018:HT
P49717	Q9WUV0	MCM4	ORC5			MGI:103199	MGI:1347044	12614612:0018:HT
P49717	Q9Z0H0	MCM4	CDC7			MGI:103199	MGI:1309511	12614612:0018:HT
P49717	Q9Z1N2	MCM4	ORC1			MGI:103199	MGI:1328337	12614612:0018:HT
P49718	P97310	MCM5	MCM2			MGI:103197	MGI:105380	12614612:0018:HT
P49718	Q60862	MCM5	ORC2			MGI:103197	MGI:1328306	12614612:0018:HT
P49718	Q61881	MCM5	MCM7			MGI:103197	MGI:1298398	12614612:0018:HT
P49718	Q62193	MCM5	RPA2			MGI:103197	MGI:1339939	12614612:0018:HT
P49718	Q9WUJ8	MCM5	ORC6			MGI:103197	MGI:1929285	12614612:0018:HT
P49718	Q9Z0H0	MCM5	CDC7			MGI:103197	MGI:1309511	12614612:0018:HT
P49769	P49769	PSEN1	PSEN1			MGI:1202717	MGI:1202717	9666482:0019:LC|22036569:0006:LC|9666482:0030:LC
P49769	P57716	PSEN1	NCSTN			MGI:1202717	MGI:1891700	11943765:0401:LC|22036569:0006:LC|16641999:0006:LC
P49769	Q9CQR7	PSEN1	PSENEN			MGI:1202717	MGI:1913590	22036569:0006:LC|16449386:0006:LC|16641999:0006:LC
P49891	P49891	SULT1E1	SULT1E1			MGI:98431	MGI:98431	9360604:0114:LC|9765259:0114:LC
P50172	P50172	HSD11B1	HSD11B1			MGI:103562	MGI:103562	28537398:0114:LC|PDB_4NMH:0114:LC|30613321:0114:LC|15865440:0114:LC|23845218:0114:LC
P50220	Q00288	NKX2-1	PAX8			MGI:108067	MGI:97492	20211142:0018:HT
P50220	Q04744	NKX2-1	EMX2			MGI:108067	MGI:95388	20211142:0018:HT
P50220	Q61169	NKX2-1	GATA6			MGI:108067	MGI:107516	20211142:0018:HT
P50220	Q8K5B8	NKX2-1	HOXC12			MGI:108067	MGI:96194	20211142:0018:HT
P50220	Q91V10	NKX2-1	VSX1			MGI:108067	MGI:1890816	20211142:0018:HT
P50220	Q9WUI0	NKX2-1	MIXL1			MGI:108067	MGI:1351322	20211142:0018:HT
