"Var_name","Edges","Directed","Weighted","Name","Year","Source","Description","Citation"
"fullerene_c320",480,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 320 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c3840",5760,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 3840 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c4860",7290,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 4860 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c500",750,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 500 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c540",810,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 540 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c60",90,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 60 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c6000",9000,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 6000 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c720",1080,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 720 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c960",1440,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 960 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"huron_prevalence",316,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"internet_routers",48436,0,0,"Internet Routers","1993","https://github.com/gephi/gephi/wiki/Datasets","Undirected, unweighted network that is a symmetrized snapshot of the structure of the Internet at the level of autonomous systems, reconstructed from BGP tables posted by the University of Oregon Route Views Project at <http://routeviews.org>. This was created by Mark Newman in 2006. Network is formatted as an edgelist. Each node is also associated with numerical labels - these have been omitted from the dataset loaded by this R pacakge. However, this information can be found in the raw dataset at this package's GitHub repo at <https://github.com/rrrlw/ICON> under the ""data-raw"" directory. On the webpage at the source URL (below), download the linked GML file under the ""Web and Internet"" heading associated with the bullet point titled ""Internet"".","Newman M. Internet (2006). University of Oregon Route Views Project. <http://routeviews.org>"
"karate_club",78,0,0,"Karate Club","1977","https://github.com/gephi/gephi/wiki/Datasets","Undirected, unweighted social network of friendships between 34 members of a karate club at a U.S. univesity in the 1970s. Network is formatted as an edgelist. Node labels were not provided in the raw dataset, which can be found at this package's GitHub repo at <https://github.com/rrrlw/ICON> under the ""data-raw"" directory. On the webpage at the source URL (below), download the linked GML file under the ""Social Networks"" heading associated with the bullet point titled ""Zachary's Karate Club"".","Zachary WW. An information flow model for conflict and fission in small groups. Journal of Anthropological Research. 1977; 33: 452-473."
"lakewoods_prevalence",384,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"les_miserables",254,0,1,"Les Miserables coappearance network","1993","https://github.com/gephi/gephi/wiki/Datasets","Undirected, weighted coappearance network of characters in the novel Les Miserables. Network is formatted as an edgelist. See the cited journal article below to understand how edge weight was calculated. Each node is also associated with character names - these have been omitted from the dataset loaded by this R pacakge. However, this information can be found in the raw dataset at this package's GitHub repo at <https://github.com/rrrlw/ICON> under the ""data-raw"" directory. On the webpage at the source URL, download the linked GML file under the ""Social Networks"" heading associated with the bullet point titled ""Les Miserables"".","Knuth DE. The Stanford GraphBase: A Platform for Combinatorial Computing. Reading, MA: Addison-Wesley; 1993."
