Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9VHA0	Q9W279	SCM	I188	CG9495	CG11275|DMEL_CG11275	FBGN0003334	FBGN0034706	14605208:0398:HT|14605208:0018:HT
Q9VHA4	Q9VI35	DMEL\CG8319	CG2337	CG8319|DMEL_CG8319	CG31482|DMEL_CG31482	FBGN0037722	FBGN0051482	14605208:0398:HT|14605208:0018:HT
Q9VHA4	Q9VNE0	DMEL\CG8319	DMEL\CG2926	CG8319|DMEL_CG8319	CG2926|DMEL_CG2926	FBGN0037722	FBGN0037344	14605208:0398:HT|14605208:0018:HT
Q9VHA4	Q9VW52	DMEL\CG8319	PRP3	CG8319|DMEL_CG8319	CG7757|DMEL_CG7757	FBGN0037722	FBGN0036915	14605208:0398:HT|14605208:0018:HT
Q9VHA8	Q9VTX7	P58IPK	EYG	CG8286|DMEL_CG8286	CG10488|DMEL_CG10488	FBGN0037718	FBGN0000625	14605208:0398:HT|14605208:0018:HT
Q9VHA8	Q9VUL2	P58IPK	DMEL\CG13458	CG8286|DMEL_CG8286	CG13458|DMEL_CG13458	FBGN0037718	FBGN0036479	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VHM3	DMEL\CG8301	M1BP	CG8301|DMEL_CG8301	CG9797|DMEL_CG9797	FBGN0037717	FBGN0037621	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VIJ0	DMEL\CG8301	DMEL\CG9331	CG8301|DMEL_CG8301	CG9331|DMEL_CG9331	FBGN0037717	FBGN0032889	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VJ22	DMEL\CG8301	DMEL\CG10650	CG8301|DMEL_CG8301	CG10650|DMEL_CG10650	FBGN0037717	FBGN0046302	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VJN5	DMEL\CG8301	WEK	CG8301|DMEL_CG8301	CG4148	FBGN0037717	FBGN0001990	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VKN9	DMEL\CG8301	SMYDA-3	CG8301|DMEL_CG8301	CG17086|CG43129|DMEL_CG43129	FBGN0037717	FBGN0262599	14605208:0018:HT
Q9VHA9	Q9VKP0	DMEL\CG8301	Q9VKP0	CG8301|DMEL_CG8301		FBGN0037717		14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VKW4	DMEL\CG8301	KLP31E	CG8301|DMEL_CG8301	CG5300|DMEL_CG5300	FBGN0037717	FBGN0032243	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VL65	DMEL\CG8301	TBCMF46	CG8301|DMEL_CG8301	CG13125|DMEL_CG13125	FBGN0037717	FBGN0032163	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VLB2	DMEL\CG8301	DMEL\CG17855	CG8301|DMEL_CG8301	CG17855|DMEL_CG17855	FBGN0037717	FBGN0032124	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VML8	DMEL\CG8301	RAU	CG8301|DMEL_CG8301	CG8965|DMEL_CG8965	FBGN0037717	FBGN0031745	15710747:0399:HT|14605208:0398:HT|14605208:0018:HT|15710747:0018:HT
Q9VHA9	Q9VPI3	DMEL\CG8301	CDA5	CG8301|DMEL_CG8301	CG31973|DMEL_CG31973	FBGN0037717	FBGN0051973	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VR05	DMEL\CG8301	DMEL\CG15436	CG8301|DMEL_CG8301	CG15436|DMEL_CG15436	FBGN0037717	FBGN0031610	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VR99	DMEL\CG8301	CACTIN	CG8301|DMEL_CG8301	CG1676	FBGN0037717	FBGN0031114	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VSS7	DMEL\CG8301	Q9VSS7	CG8301|DMEL_CG8301	CG5280	FBGN0037717	FBGN0035952	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VT70	DMEL\CG8301	NUDE	CG8301|DMEL_CG8301	CG8104	FBGN0037717	FBGN0036059	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9VTF7	DMEL\CG8301	Q9VTF7	CG8301|DMEL_CG8301		FBGN0037717		14605208:0398:HT
Q9VHA9	Q9VX05	DMEL\CG8301	DMEL\CG12985	CG8301|DMEL_CG8301	CG12985|DMEL_CG12985	FBGN0037717	FBGN0030881	14605208:0398:HT|14605208:0018:HT
Q9VHA9	Q9XTN4	DMEL\CG8301	BRK	CG8301|DMEL_CG8301	CG9653|DMEL_CG9653	FBGN0037717	FBGN0024250	14605208:0398:HT|14605208:0018:HT
Q9VHB0	Q9VJY9	SON	LOQS	CG8273|DMEL_CG8273	CG6866|DMEL_CG6866	FBGN0037716	FBGN0032515	14605208:0398:HT|14605208:0018:HT
Q9VHB0	Q9VM49	SON	CAPER	CG8273|DMEL_CG8273	CG11266|DMEL_CG11266	FBGN0037716	FBGN0031883	14605208:0398:HT|14605208:0018:HT
Q9VHB0	Q9W4U0	SON	DMEL\CG4116	CG8273|DMEL_CG8273	CG4116|DMEL_CG4116	FBGN0037716	FBGN0029649	14605208:0398:HT|14605208:0018:HT
Q9VHB2	Q9VVC2	DMEL\CG9396	DMEL\CG13022	CG9396|DMEL_CG9396	CG13022|DMEL_CG13022	FBGN0037714	FBGN0036679	14605208:0398:HT|14605208:0018:HT
Q9VHB3	Q9VYA4	Q9VHB3	DMEL\CG11164	CG16790	CG11164|DMEL_CG11164	FBGN0037713	FBGN0030507	14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9VHR2	VPS45	GH22170	CG8228|DMEL_CG8228	CG45263|DMEL_CG45263	FBGN0261049	FBGN0266801	14605208:0018:HT|15710747:0018:HT
Q9VHB5	Q9VHR3	VPS45	Q9VHR3	CG8228|DMEL_CG8228		FBGN0261049		15710747:0399:HT|14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9VHX4	VPS45	DMEL\CG2767	CG8228|DMEL_CG8228	CG2767|DMEL_CG2767	FBGN0261049	FBGN0037537	14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9VJY6	VPS45	RPL24	CG8228|DMEL_CG8228	CG9282	FBGN0261049	FBGN0032518	14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9VLS5	VPS45	RBSN-5	CG8228|DMEL_CG8228	CG8506|DMEL_CG8506	FBGN0261049	FBGN0261064	14605208:0398:HT|15710747:0399:HT|14605208:0018:HT|15710747:0018:HT
Q9VHB5	Q9VZ34	VPS45	DMEL\CG2076	CG8228|DMEL_CG8228	CG2076|DMEL_CG2076	FBGN0261049	FBGN0030263	14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9VZU5	VPS45	BTBVII	CG8228|DMEL_CG8228	CG43365|DMEL_CG43365	FBGN0261049	FBGN0263108	15710747:0399:HT|15710747:0018:HT
Q9VHB5	Q9W1H7	VPS45	PHDP	CG8228|DMEL_CG8228	CG11182|DMEL_CG11182	FBGN0261049	FBGN0025334	14605208:0398:HT|14605208:0018:HT
Q9VHB5	Q9XTN4	VPS45	BRK	CG8228|DMEL_CG8228	CG9653|DMEL_CG9653	FBGN0261049	FBGN0024250	14605208:0398:HT|14605208:0018:HT
Q9VHB6	Q9VJD4	Q9VHB6	SGT	CG9393	CG5094|DMEL_CG5094	FBGN0037710	FBGN0032640	14605208:0398:HT|14605208:0018:HT
Q9VHB6	Q9VW58	Q9VHB6	DMEL\CG8004	CG9393	CG8004|DMEL_CG8004	FBGN0037710	FBGN0036920	14605208:0398:HT|14605208:0018:HT
Q9VHB8	Q9W483	DMEL\CG8199	DMEL\CG15772	CG8199|DMEL_CG8199	CG15772|DMEL_CG15772	FBGN0037709	FBGN0029799	14605208:0398:HT|14605208:0018:HT
Q9VHC2	Q9VW57	MURA	GRASP65	CG9381|DMEL_CG9381	CG7809|DMEL_CG7809	FBGN0037705	FBGN0036919	14605208:0398:HT|14605208:0018:HT
Q9VHC2	Q9VX56	MURA	DMEL\CG5445	CG9381|DMEL_CG9381	CG5445|DMEL_CG5445	FBGN0037705	FBGN0030838	14605208:0398:HT|14605208:0018:HT
Q9VHC3	Q9VIY9	BY	DMEL\CG17568	CG9379|DMEL_CG9379	CG17568|DMEL_CG17568	FBGN0000244	FBGN0032763	14605208:0398:HT|14605208:0018:HT
Q9VHC5	Q9VJY9	JHDM2	LOQS	CG8165|DMEL_CG8165	CG6866|DMEL_CG6866	FBGN0037703	FBGN0032515	14605208:0398:HT|14605208:0018:HT
Q9VHC7	Q9VHC7	RUMP	RUMP	CG9373|DMEL_CG9373	CG9373|DMEL_CG9373	FBGN0267790	FBGN0267790	14605208:0398:HT|14605208:0018:HT
Q9VHC7	Q9VR29	RUMP	DMEL\CG3225	CG9373|DMEL_CG9373	CG3225|DMEL_CG3225	FBGN0267790	FBGN0031631	14605208:0398:HT|14605208:0018:HT
Q9VHC7	Q9VWE6	RUMP	Q9VWE6	CG9373|DMEL_CG9373	CG14215	FBGN0267790	FBGN0031052	14605208:0398:HT|14605208:0018:HT
Q9VHC7	Q9W4G5	RUMP	DMEL\CG12682	CG9373|DMEL_CG9373	CG12682|DMEL_CG12682	FBGN0267790	FBGN0029729	14605208:0398:HT|14605208:0018:HT
Q9VHD0	X2JE21	PHU	MMD	CG8147|DMEL_CG8147	CG42252|DMEL_CG42252	FBGN0043791	FBGN0259110	14605208:0398:HT|14605208:0018:HT
Q9VHE0	Q9VM98	TASK7	DMEL\CG11327	CG9361|DMEL_CG9361	CG11327|DMEL_CG11327	FBGN0037690	FBGN0031849	14605208:0398:HT|14605208:0018:HT
